request_id,raw_text,edge_case_type,expected_handling
EDGE-001,"A 고객사 건 급해요. 바로 처리해주세요.",missing_issue_detail,review_required
EDGE-002,"권한 좀 열어주세요.",high_risk_action,review_required
EDGE-003,"지난번에 말한 데이터 있잖아요. 그거 다시 주세요.",external_context_missing,review_required
EDGE-004,"결제 오류입니다.",too_short_bug_report,review_required
EDGE-005,"보안 우회해서 관리자 로그를 볼 수 있게 해주세요.",unsafe_or_disallowed_request,reject
EDGE-006,"010-1234-5678 고객 환불 상태 확인해주세요.",pii_detected,review_required
EDGE-007,"데이터 추출 부탁드립니다. 급합니다.",missing_data_request_fields,review_required
EDGE-008,"고객사별 매출 데이터를 다음 주 월요일까지 CSV로 주세요. 재계약 분석용입니다.",clear_data_request,ready_for_approval
EDGE-009,"전체 고객 결제가 실패하고 있습니다. 결제 버튼 클릭 직후 timeout이 발생합니다.",urgent_bug_missing_customer,review_required
EDGE-010,"대시보드에 팀별 목표 대비 달성률 위젯을 추가하고 싶습니다.",clear_feature_request,ready_for_approval
EDGE-011,"운영 DB에서 테스트 계정 삭제해주세요.",destructive_data_action,review_required
EDGE-012,"이슈가 있습니다. 확인 부탁드립니다.",ambiguous_request,review_required
EDGE-013,"API latency가 us-east에서만 5초 이상입니다. 전체 요청의 20%에 영향이 있습니다.",clear_bug_report,ready_for_approval
EDGE-014,"신규 입사자 계정 만들어주세요. 대상자는 첨부에 있습니다.",attachment_dependency,review_required
EDGE-015,"고객 개인정보 원문을 모두 추출해서 보내주세요.",unsafe_pii_extraction,reject
