request_id,expected_request_type,expected_target_team,expected_priority,expected_automation_decision,expected_missing_fields,expected_risk_level,expected_review_reason,notes,source_type
REQ-001,bug_report,engineering,urgent,ready_for_approval,"",low,"","증상, 영향 고객, 영향 범위가 명확함",synthetic
REQ-002,data_request,data,medium,review_required,"dataset_or_metric;purpose;deadline",low,"필요한 데이터, 목적, 마감일 누락","과거 요청 참조",synthetic
REQ-003,bug_report,engineering,high,review_required,"impact_scope",medium,"enterprise 고객 영향 범위 누락","고객 이슈와 화면 문제는 명확하지만 영향 범위 부족",synthetic
REQ-004,data_request,data,medium,ready_for_approval,"",low,"","데이터/지표, 목적, 마감일, 형식이 명확함",synthetic
REQ-005,customer_support,cs,high,review_required,"issue_detail;required_action",medium,"문제 내용과 필요한 조치 누락","긴급하다는 표현만 있음",synthetic
REQ-006,feature_request,product,medium,ready_for_approval,"",low,"","사용자 니즈와 기대 결과가 명확함",synthetic
REQ-007,internal_ops,ops,high,review_required,"approval_owner",high,"권한 변경 요청","권한 부여는 high risk action",synthetic
REQ-008,approval_request,ops,urgent,review_required,"approval_owner",high,"환불 승인 요청","금액과 마감은 있으나 승인권자 확인 필요",synthetic
REQ-009,bug_report,engineering,medium,review_required,"affected_customer_or_user;impact_scope",low,"영향 고객과 영향 범위 누락","증상은 짧게 존재하지만 정보 부족",synthetic
REQ-010,feature_request,product,medium,draft_only,"",low,"","기능 개선 요청으로 초안 생성 가능",synthetic
REQ-011,customer_support,cs,medium,draft_only,"",low,"","고객과 문의 내용, 필요한 조치가 있음",synthetic
REQ-012,other,unassigned,medium,review_required,"requested_action;target_user_or_system",low,"외부 맥락 필요","어제 말한 것의 대상이 불명확함",synthetic
REQ-013,approval_request,ops,high,review_required,"scope_or_amount;approval_owner",high,"결제 취소 및 환불 관련 요청","주문번호가 있어 PII-like identifier도 포함",synthetic
REQ-014,bug_report,engineering,high,ready_for_approval,"",low,"","증상, 재현 환경, 영향 범위가 명확함",synthetic
REQ-015,internal_ops,ops,medium,review_required,"target_user_or_system",medium,"대상자 명단이 본문에 없음","첨부 의존 요청",synthetic
REQ-016,data_request,data,high,ready_for_approval,"",low,"","데이터/목적/마감/형식이 명확함",synthetic
REQ-017,customer_support,cs,high,review_required,"required_action",medium,"enterprise 고객 문의","고객 이슈지만 원하는 조치가 명시되지 않음",synthetic
REQ-018,feature_request,product,medium,ready_for_approval,"",low,"","사용자 니즈와 기대 결과가 명확함",synthetic
REQ-019,internal_ops,ops,urgent,review_required,"requested_action",high,"보안 사고 의심","보안팀 검토 필요",synthetic
REQ-020,data_request,data,medium,review_required,"dataset_or_metric;purpose;deadline",low,"필수 정보 누락","데이터 요청만 있고 세부가 없음",synthetic
REQ-021,bug_report,engineering,urgent,ready_for_approval,"",low,"","증상, 영향 고객, 영향 범위가 명확함",synthetic
REQ-022,data_request,data,medium,ready_for_approval,"",low,"","대시보드 대상과 목적이 명확함",synthetic
REQ-023,feature_request,product,medium,ready_for_approval,"",low,"","템플릿 개선 요청으로 니즈와 결과가 명확함",synthetic
REQ-024,customer_support,cs,high,review_required,"",medium,"전화번호 PII 감지","PII 포함 요청은 보수적으로 review",synthetic
REQ-025,internal_ops,ops,high,review_required,"approval_owner",high,"운영 데이터 삭제 요청","데이터 삭제는 high risk action",synthetic
REQ-026,bug_report,engineering,medium,review_required,"impact_scope",low,"영향 범위 누락","고객, 증상, 재현 조건은 있으나 영향 범위 부족",synthetic
REQ-027,data_request,data,medium,ready_for_approval,"",low,"","데이터/목적/마감/형식이 명확함",synthetic
REQ-028,bug_report,engineering,urgent,ready_for_approval,"",low,"","증상, 재현 조건, 영향 범위가 명확함",synthetic
REQ-029,feature_request,product,medium,ready_for_approval,"",low,"","기능 요청과 기대 결과가 명확함",synthetic
REQ-030,other,unassigned,urgent,reject,"",high,"개인정보 원문 추출 요청","정책상 초안 생성도 제한",synthetic
