request_id,requester,channel,raw_text,created_at,customer_tier,source
REQ-001,kim,slack,"A 고객사 결제 버튼 클릭 시 500 에러가 발생합니다. 전체 결제 시도 중 30% 정도 실패하고 있습니다.",2026-05-11T09:00:00+09:00,enterprise,synthetic
REQ-002,lee,form,"지난번 데이터 다시 주세요.",2026-05-11T09:10:00+09:00,,synthetic
REQ-003,park,slack,"B 고객사에서 로그인 후 대시보드가 빈 화면으로 보인다고 합니다. 오늘 중 확인 부탁드립니다.",2026-05-11T09:20:00+09:00,enterprise,synthetic
REQ-004,choi,form,"지난 4월 신규 가입자 수와 결제 전환율을 CSV로 받을 수 있을까요? 이번 주 금요일까지 필요합니다.",2026-05-11T09:30:00+09:00,,synthetic
REQ-005,jung,slack,"A 고객사 건 급해요. 바로 처리해주세요.",2026-05-11T09:40:00+09:00,enterprise,synthetic
REQ-006,han,form,"관리자 화면에서 계정 비활성화 기능을 추가해 주세요. CS가 고객 요청 처리할 때 필요합니다.",2026-05-11T09:50:00+09:00,,synthetic
REQ-007,seo,slack,"김대리님 계정에 운영 관리자 권한 열어주세요. 오늘 배포 전에 필요합니다.",2026-05-11T10:00:00+09:00,,synthetic
REQ-008,yoon,form,"C 고객사 환불 처리 승인 부탁드립니다. 금액은 120만원이고 오늘 중 처리해야 합니다.",2026-05-11T10:10:00+09:00,enterprise,synthetic
REQ-009,kang,slack,"결제 안 됩니다.",2026-05-11T10:20:00+09:00,,synthetic
REQ-010,lim,form,"월간 리텐션 대시보드에 국가별 필터를 추가하고 싶습니다. PM 리뷰용입니다.",2026-05-11T10:30:00+09:00,,synthetic
REQ-011,shin,slack,"D 고객사 문의입니다. 세금계산서 발행 내역을 어디서 확인하는지 알려달라고 합니다.",2026-05-11T10:40:00+09:00,standard,synthetic
REQ-012,oh,form,"어제 말한 거 GitHub에 올려주세요.",2026-05-11T10:50:00+09:00,,synthetic
REQ-013,baek,slack,"주문번호 ORD-12345 고객이 결제 취소를 요청했습니다. 처리 가능할까요?",2026-05-11T11:00:00+09:00,standard,synthetic
REQ-014,nam,form,"API 응답 시간이 5초 이상 걸립니다. us-east 리전에서만 재현되고 전체 트래픽의 15% 정도입니다.",2026-05-11T11:10:00+09:00,,synthetic
REQ-015,moon,slack,"신규 온보딩 대상자 3명 계정 생성 부탁드립니다. 명단은 첨부했습니다.",2026-05-11T11:20:00+09:00,,synthetic
REQ-016,kwon,form,"이번 주 캠페인별 매출 리포트를 내일까지 PDF로 받을 수 있을까요? 마케팅 회의에 필요합니다.",2026-05-11T11:30:00+09:00,,synthetic
REQ-017,ryu,slack,"E 고객사에서 비밀번호 재설정 메일이 안 온다고 합니다. 고객은 enterprise 등급입니다.",2026-05-11T11:40:00+09:00,enterprise,synthetic
REQ-018,jeon,form,"검색 결과 정렬을 최신순으로 바꾸는 옵션이 있으면 좋겠습니다. 고객들이 최근 문서를 먼저 보고 싶어합니다.",2026-05-11T11:50:00+09:00,,synthetic
REQ-019,hong,slack,"보안 사고 의심 건입니다. 외부 IP에서 관리자 로그인이 여러 번 실패했습니다.",2026-05-11T12:00:00+09:00,enterprise,synthetic
REQ-020,go,form,"데이터 추출 부탁드립니다.",2026-05-11T12:10:00+09:00,,synthetic
REQ-021,min,slack,"F 고객사 결제 실패율이 어제 2%에서 오늘 18%로 올라갔습니다. 결제 페이지에서 timeout이 납니다.",2026-05-11T12:20:00+09:00,enterprise,synthetic
REQ-022,na,form,"팀별 주간 처리 건수 대시보드를 만들어 주세요. 운영팀 회고에서 쓰려고 합니다.",2026-05-11T12:30:00+09:00,,synthetic
REQ-023,song,slack,"슬랙 알림 문구가 너무 길어서 고객명이 잘립니다. 알림 템플릿을 개선할 수 있을까요?",2026-05-11T12:40:00+09:00,,synthetic
REQ-024,do,form,"010-1234-5678 고객에게 연락해서 환불 상태를 알려주세요.",2026-05-11T12:50:00+09:00,standard,synthetic
REQ-025,ma,slack,"운영 데이터에서 테스트 계정 5개 삭제 부탁드립니다.",2026-05-11T13:00:00+09:00,,synthetic
REQ-026,bang,form,"G 고객사 담당자가 로그인 오류를 문의했습니다. 오류 메시지는 'invalid token'이고 재현은 특정 브라우저에서만 됩니다.",2026-05-11T13:10:00+09:00,standard,synthetic
REQ-027,sim,slack,"이번 달 고객사별 사용량 데이터를 다음 주 월요일까지 CSV로 주세요. 재계약 분석에 필요합니다.",2026-05-11T13:20:00+09:00,,synthetic
REQ-028,ha,form,"결재 승인 플로우에서 500 에러가 납니다. 승인 버튼 클릭 직후 발생하고 모든 승인 요청에서 재현됩니다.",2026-05-11T13:30:00+09:00,,synthetic
REQ-029,won,slack,"신규 기능 요청입니다. 대시보드에서 팀별 목표 대비 달성률을 한눈에 볼 수 있으면 좋겠습니다.",2026-05-11T13:40:00+09:00,,synthetic
REQ-030,jang,form,"이 요청은 자동화하지 말고 보안팀이 직접 확인해야 합니다. 고객 개인정보 원문을 추출해 주세요.",2026-05-11T13:50:00+09:00,enterprise,synthetic
